,Date,TemperatureDSNY,TemperatureCPER
93,2019-01-02 22:30:00+00:00,24.9623,1.9912
94,2019-01-02 23:00:00+00:00,23.8904,1.3548
95,2019-01-02 23:30:00+00:00,22.9973,0.5679
96,2019-01-03 00:00:00+00:00,22.2034,0.1445
97,2019-01-03 00:30:00+00:00,21.7155,-0.6513
98,2019-01-03 01:00:00+00:00,21.1475,-3.3
99,2019-01-03 01:30:00+00:00,20.6447,-4.492
100,2019-01-03 02:00:00+00:00,20.4261,-5.391
101,2019-01-03 02:30:00+00:00,20.2542,-5.4714
102,2019-01-03 03:00:00+00:00,20.2839,-5.6414
103,2019-01-03 03:30:00+00:00,20.194,-5.3197
104,2019-01-03 04:00:00+00:00,20.1385,-5.7863
105,2019-01-03 04:30:00+00:00,20.0371,-7.38
106,2019-01-03 05:00:00+00:00,19.797,-4.9759
107,2019-01-03 05:30:00+00:00,19.5813,-6.2351
108,2019-01-03 06:00:00+00:00,19.3589,-5.0483
109,2019-01-03 06:30:00+00:00,19.2375,-5.2442
110,2019-01-03 07:00:00+00:00,19.5134,-3.8423
111,2019-01-03 07:30:00+00:00,19.4644,-4.2296
112,2019-01-03 08:00:00+00:00,19.234,-2.9057
113,2019-01-03 08:30:00+00:00,18.762,-4.799
114,2019-01-03 09:00:00+00:00,18.1333,-4.285
115,2019-01-03 09:30:00+00:00,17.8573,-5.1708
116,2019-01-03 10:00:00+00:00,17.8583,-5.478
117,2019-01-03 10:30:00+00:00,17.9521,-4.513
118,2019-01-03 11:00:00+00:00,18.0466,-4.4269
119,2019-01-03 11:30:00+00:00,17.6885,-3.9188
120,2019-01-03 12:00:00+00:00,17.5538,-2.891
121,2019-01-03 12:30:00+00:00,17.4724,-1.6815
122,2019-01-03 13:00:00+00:00,18.0105,-1.9044
123,2019-01-03 13:30:00+00:00,18.7765,-1.726
124,2019-01-03 14:00:00+00:00,19.4945,-1.2058
125,2019-01-03 14:30:00+00:00,20.8265,-1.3023
126,2019-01-03 15:00:00+00:00,23.0964,-0.0328
127,2019-01-03 15:30:00+00:00,24.3841,1.0101
128,2019-01-03 16:00:00+00:00,25.0,2.2487
129,2019-01-03 16:30:00+00:00,25.3361,4.6491
130,2019-01-03 17:00:00+00:00,25.5705,7.8193
131,2019-01-03 17:30:00+00:00,26.7513,8.9753
132,2019-01-03 18:00:00+00:00,26.5316,9.7633
133,2019-01-03 18:30:00+00:00,26.601,10.9439
134,2019-01-03 19:00:00+00:00,26.8201,11.8519
135,2019-01-03 19:30:00+00:00,27.0646,12.3071
136,2019-01-03 20:00:00+00:00,27.2384,12.6072
137,2019-01-03 20:30:00+00:00,27.3711,12.1801
138,2019-01-03 21:00:00+00:00,27.3336,10.3632
139,2019-01-03 21:30:00+00:00,26.907,11.5072
140,2019-01-03 22:00:00+00:00,26.5542,11.3083
141,2019-01-03 22:30:00+00:00,26.0138,10.8535
142,2019-01-03 23:00:00+00:00,25.3304,9.7096
143,2019-01-03 23:30:00+00:00,23.8934,8.1199
144,2019-01-04 00:00:00+00:00,22.856,7.2548
145,2019-01-04 00:30:00+00:00,22.2211,6.8147
146,2019-01-04 01:00:00+00:00,21.3689,6.1554
147,2019-01-04 01:30:00+00:00,21.0435,6.9927
148,2019-01-04 02:00:00+00:00,20.4685,7.3208
149,2019-01-04 02:30:00+00:00,20.1837,7.7478
150,2019-01-04 03:00:00+00:00,19.9111,7.304
151,2019-01-04 03:30:00+00:00,19.6919,6.9137
152,2019-01-04 04:00:00+00:00,19.8695,6.5674
153,2019-01-04 04:30:00+00:00,20.308,5.869
154,2019-01-04 05:00:00+00:00,20.0471,2.9869
155,2019-01-04 05:30:00+00:00,20.2266,5.1588
156,2019-01-04 06:00:00+00:00,20.279,4.7448
157,2019-01-04 06:30:00+00:00,20.4169,4.3835
158,2019-01-04 07:00:00+00:00,20.5299,3.5568
159,2019-01-04 07:30:00+00:00,20.5005,3.6199
160,2019-01-04 08:00:00+00:00,20.0777,3.0567
161,2019-01-04 08:30:00+00:00,19.5542,1.6645
162,2019-01-04 09:00:00+00:00,19.4391,1.9304
163,2019-01-04 09:30:00+00:00,19.4597,2.7706
164,2019-01-04 10:00:00+00:00,19.3706,3.1256
165,2019-01-04 10:30:00+00:00,19.6121,3.432
166,2019-01-04 11:00:00+00:00,20.4416,4.4851
167,2019-01-04 11:30:00+00:00,20.9888,4.6763
