,date,birdName,count
133,2016-06-08,American Crow,11
134,2016-06-08,American Goldfinch,7
135,2016-06-08,American Robin,0
136,2016-06-08,American Woodcock,0
137,2016-06-08,Barred Owl,0
138,2016-06-08,Belted Kingfisher,0
139,2016-06-08,Black-and-white Warbler,3
140,2016-06-08,Black-throated Blue Warbler,0
141,2016-06-08,Black-throated Green Warbler,11
142,2016-06-08,Blue Jay,0
143,2016-06-08,Blue-gray Gnatcatcher,2
144,2016-06-08,Blue-headed Vireo,10
145,2016-06-08,Broad-winged Hawk,0
146,2016-06-08,Brown Thrasher,0
147,2016-06-08,Brown-headed Cowbird,0
148,2016-06-08,Carolina Chickadee,6
149,2016-06-08,Carolina Wren,6
150,2016-06-08,Cedar Waxwing,2
151,2016-06-08,Chimney Swift,1
152,2016-06-08,Chipping Sparrow,1
153,2016-06-08,Common Grackle,4
154,2016-06-08,Dark-eyed Junco,0
155,2016-06-08,Downy Woodpecker,4
156,2016-06-08,Eastern Bluebird,0
157,2016-06-08,Eastern Phoebe,1
158,2016-06-08,Eastern Screech-Owl,0
159,2016-06-08,Eastern Towhee,4
160,2016-06-08,Eastern Wood-Pewee,0
161,2016-06-08,Field Sparrow,0
162,2016-06-08,Golden-crowned Kinglet,0
163,2016-06-08,Great Blue Heron,1
164,2016-06-08,Great Crested Flycatcher,0
165,2016-06-08,Hairy Woodpecker,0
166,2016-06-08,Hooded Warbler,24
167,2016-06-08,Indigo Bunting,0
168,2016-06-08,Kentucky Warbler,0
169,2016-06-08,Louisiana Waterthrush,11
170,2016-06-08,Mourning Dove,0
171,2016-06-08,Northern Cardinal,2
172,2016-06-08,Northern Flicker,0
173,2016-06-08,Northern Parula,12
174,2016-06-08,Ovenbird,7
175,2016-06-08,Pileated Woodpecker,1
176,2016-06-08,Pine Warbler,2
177,2016-06-08,Red Crossbill,0
178,2016-06-08,Red-bellied Woodpecker,2
179,2016-06-08,Red-breasted Nuthatch,2
180,2016-06-08,Red-eyed Vireo,11
181,2016-06-08,Red-tailed Hawk,0
182,2016-06-08,Ruby-throated Hummingbird,2
183,2016-06-08,Ruffed Grouse,0
184,2016-06-08,Scarlet Tanager,4
185,2016-06-08,Summer Tanager,0
186,2016-06-08,Swainson's Thrush,0
187,2016-06-08,Tufted Titmouse,12
188,2016-06-08,Unknown Nuthatch,0
189,2016-06-08,Unknown Tanager,0
190,2016-06-08,White-breasted Nuthatch,5
191,2016-06-08,White-eyed Vireo,0
192,2016-06-08,Wild Turkey,0
193,2016-06-08,Wood Thrush,0
194,2016-06-08,Worm-eating Warbler,3
195,2016-06-08,Yellow-billed Cuckoo,2
196,2016-06-08,Yellow-throated Vireo,0
197,2016-06-08,Yellow-throated Warbler,6
198,2016-06-09,Acadian Flycatcher,1
199,2016-06-09,American Crow,7
200,2016-06-09,American Goldfinch,1
201,2016-06-09,American Robin,0
202,2016-06-09,American Woodcock,0
203,2016-06-09,Barred Owl,0
204,2016-06-09,Belted Kingfisher,0
205,2016-06-09,Black-and-white Warbler,5
206,2016-06-09,Black-throated Blue Warbler,0
207,2016-06-09,Black-throated Green Warbler,8
208,2016-06-09,Blue Jay,1
209,2016-06-09,Blue-gray Gnatcatcher,1
210,2016-06-09,Blue-headed Vireo,4
211,2016-06-09,Broad-winged Hawk,0
212,2016-06-09,Brown Thrasher,0
213,2016-06-09,Brown-headed Cowbird,0
214,2016-06-09,Carolina Chickadee,3
215,2016-06-09,Carolina Wren,3
216,2016-06-09,Cedar Waxwing,0
217,2016-06-09,Chimney Swift,0
218,2016-06-09,Chipping Sparrow,0
219,2016-06-09,Common Grackle,0
220,2016-06-09,Dark-eyed Junco,0
221,2016-06-09,Downy Woodpecker,0
222,2016-06-09,Eastern Bluebird,0
223,2016-06-09,Eastern Phoebe,3
224,2016-06-09,Eastern Screech-Owl,0
225,2016-06-09,Eastern Towhee,5
226,2016-06-09,Eastern Wood-Pewee,2
227,2016-06-09,Field Sparrow,0
228,2016-06-09,Golden-crowned Kinglet,0
229,2016-06-09,Great Blue Heron,0
230,2016-06-09,Great Crested Flycatcher,0
231,2016-06-09,Hairy Woodpecker,3
232,2016-06-09,Hooded Warbler,14
233,2016-06-09,Indigo Bunting,1
234,2016-06-09,Kentucky Warbler,0
235,2016-06-09,Louisiana Waterthrush,4
236,2016-06-09,Mourning Dove,0
237,2016-06-09,Northern Cardinal,1
238,2016-06-09,Northern Flicker,0
239,2016-06-09,Northern Parula,4
240,2016-06-09,Ovenbird,8
241,2016-06-09,Pileated Woodpecker,6
242,2016-06-09,Pine Warbler,2
243,2016-06-09,Red Crossbill,0
244,2016-06-09,Red-bellied Woodpecker,3
245,2016-06-09,Red-breasted Nuthatch,0
246,2016-06-09,Red-eyed Vireo,10
247,2016-06-09,Red-tailed Hawk,0
248,2016-06-09,Ruby-throated Hummingbird,1
249,2016-06-09,Ruffed Grouse,0
250,2016-06-09,Scarlet Tanager,5
251,2016-06-09,Summer Tanager,1
252,2016-06-09,Swainson's Thrush,0
253,2016-06-09,Tufted Titmouse,6
254,2016-06-09,Unknown Nuthatch,0
255,2016-06-09,Unknown Tanager,0
256,2016-06-09,White-breasted Nuthatch,4
257,2016-06-09,White-eyed Vireo,0
258,2016-06-09,Wild Turkey,0
259,2016-06-09,Wood Thrush,2
260,2016-06-09,Worm-eating Warbler,7
261,2016-06-09,Yellow-billed Cuckoo,0
262,2016-06-09,Yellow-throated Vireo,0
263,2016-06-09,Yellow-throated Warbler,7
264,2016-06-10,Acadian Flycatcher,1
265,2016-06-10,American Crow,2
266,2016-06-10,American Goldfinch,0
267,2016-06-10,American Robin,1
268,2016-06-10,American Woodcock,0
269,2016-06-10,Barred Owl,0
270,2016-06-10,Belted Kingfisher,0
271,2016-06-10,Black-and-white Warbler,6
272,2016-06-10,Black-throated Blue Warbler,2
273,2016-06-10,Black-throated Green Warbler,9
274,2016-06-10,Blue Jay,0
275,2016-06-10,Blue-gray Gnatcatcher,0
276,2016-06-10,Blue-headed Vireo,10
277,2016-06-10,Broad-winged Hawk,0
278,2016-06-10,Brown Thrasher,0
279,2016-06-10,Brown-headed Cowbird,0
280,2016-06-10,Carolina Chickadee,1
281,2016-06-10,Carolina Wren,1
282,2016-06-10,Cedar Waxwing,0
283,2016-06-10,Chimney Swift,0
284,2016-06-10,Chipping Sparrow,0
285,2016-06-10,Common Grackle,0
286,2016-06-10,Dark-eyed Junco,0
287,2016-06-10,Downy Woodpecker,2
288,2016-06-10,Eastern Bluebird,0
289,2016-06-10,Eastern Phoebe,0
290,2016-06-10,Eastern Screech-Owl,0
291,2016-06-10,Eastern Towhee,1
292,2016-06-10,Eastern Wood-Pewee,0
293,2016-06-10,Field Sparrow,0
294,2016-06-10,Golden-crowned Kinglet,0
295,2016-06-10,Great Blue Heron,0
296,2016-06-10,Great Crested Flycatcher,0
297,2016-06-10,Hairy Woodpecker,4
298,2016-06-10,Hooded Warbler,9
299,2016-06-10,Indigo Bunting,2
300,2016-06-10,Kentucky Warbler,0
301,2016-06-10,Louisiana Waterthrush,1
302,2016-06-10,Mourning Dove,0
303,2016-06-10,Northern Cardinal,1
304,2016-06-10,Northern Flicker,0
305,2016-06-10,Northern Parula,0
306,2016-06-10,Ovenbird,19
307,2016-06-10,Pileated Woodpecker,1
308,2016-06-10,Pine Warbler,0
309,2016-06-10,Red Crossbill,0
310,2016-06-10,Red-bellied Woodpecker,0
311,2016-06-10,Red-breasted Nuthatch,0
312,2016-06-10,Red-eyed Vireo,7
313,2016-06-10,Red-tailed Hawk,0
314,2016-06-10,Ruby-throated Hummingbird,0
315,2016-06-10,Ruffed Grouse,0
316,2016-06-10,Scarlet Tanager,9
317,2016-06-10,Summer Tanager,0
318,2016-06-10,Swainson's Thrush,0
319,2016-06-10,Tufted Titmouse,7
320,2016-06-10,Unknown Nuthatch,0
321,2016-06-10,Unknown Tanager,0
322,2016-06-10,White-breasted Nuthatch,3
323,2016-06-10,White-eyed Vireo,0
324,2016-06-10,Wild Turkey,0
325,2016-06-10,Wood Thrush,4
326,2016-06-10,Worm-eating Warbler,4
327,2016-06-10,Yellow-billed Cuckoo,2
328,2016-06-10,Yellow-throated Vireo,0
329,2016-06-10,Yellow-throated Warbler,0
330,2016-06-11,Acadian Flycatcher,1
331,2016-06-11,American Crow,4
332,2016-06-11,American Goldfinch,1
333,2016-06-11,American Robin,3
334,2016-06-11,American Woodcock,0
335,2016-06-11,Barred Owl,0
336,2016-06-11,Belted Kingfisher,0
337,2016-06-11,Black-and-white Warbler,6
338,2016-06-11,Black-throated Blue Warbler,0
339,2016-06-11,Black-throated Green Warbler,8
340,2016-06-11,Blue Jay,1
341,2016-06-11,Blue-gray Gnatcatcher,1
342,2016-06-11,Blue-headed Vireo,4
343,2016-06-11,Broad-winged Hawk,0
344,2016-06-11,Brown Thrasher,0
345,2016-06-11,Brown-headed Cowbird,0
346,2016-06-11,Carolina Chickadee,7
347,2016-06-11,Carolina Wren,0
348,2016-06-11,Cedar Waxwing,2
349,2016-06-11,Chimney Swift,0
350,2016-06-11,Chipping Sparrow,0
351,2016-06-11,Common Grackle,0
352,2016-06-11,Dark-eyed Junco,0
353,2016-06-11,Downy Woodpecker,0
354,2016-06-11,Eastern Bluebird,0
355,2016-06-11,Eastern Phoebe,1
356,2016-06-11,Eastern Screech-Owl,0
357,2016-06-11,Eastern Towhee,6
358,2016-06-11,Eastern Wood-Pewee,1
359,2016-06-11,Field Sparrow,0
360,2016-06-11,Golden-crowned Kinglet,0
361,2016-06-11,Great Blue Heron,0
362,2016-06-11,Great Crested Flycatcher,0
363,2016-06-11,Hairy Woodpecker,1
364,2016-06-11,Hooded Warbler,10
365,2016-06-11,Indigo Bunting,0
366,2016-06-11,Kentucky Warbler,0
367,2016-06-11,Louisiana Waterthrush,0
368,2016-06-11,Mourning Dove,0
369,2016-06-11,Northern Cardinal,5
370,2016-06-11,Northern Flicker,0
371,2016-06-11,Northern Parula,1
372,2016-06-11,Ovenbird,1
373,2016-06-11,Pileated Woodpecker,5
374,2016-06-11,Pine Warbler,1
375,2016-06-11,Red Crossbill,0
376,2016-06-11,Red-bellied Woodpecker,2
377,2016-06-11,Red-breasted Nuthatch,1
378,2016-06-11,Red-eyed Vireo,13
379,2016-06-11,Red-tailed Hawk,0
380,2016-06-11,Ruby-throated Hummingbird,0
381,2016-06-11,Ruffed Grouse,1
382,2016-06-11,Scarlet Tanager,3
383,2016-06-11,Summer Tanager,0
384,2016-06-11,Swainson's Thrush,0
385,2016-06-11,Tufted Titmouse,7
386,2016-06-11,Unknown Nuthatch,0
387,2016-06-11,Unknown Tanager,0
388,2016-06-11,White-breasted Nuthatch,1
389,2016-06-11,White-eyed Vireo,0
390,2016-06-11,Wild Turkey,0
391,2016-06-11,Wood Thrush,0
392,2016-06-11,Worm-eating Warbler,4
393,2016-06-11,Yellow-billed Cuckoo,1
394,2016-06-11,Yellow-throated Vireo,0
395,2016-06-11,Yellow-throated Warbler,0
396,2016-06-12,Acadian Flycatcher,1
397,2016-06-12,American Crow,0
398,2016-06-12,American Goldfinch,1
399,2016-06-12,American Robin,0
400,2016-06-12,American Woodcock,0
401,2016-06-12,Barred Owl,2
